Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phone Shopping,Chrome 116.0.0.0,,,2023-09-26 23:42:52,2023-09-26 23:44:12,1m - 20.007s,PASSED
,,,,,,,
Test Cases/02 - Login/01 - Normal Login,Chrome 116.0.0.0,,,2023-09-26 23:42:53,2023-09-26 23:43:05,12.464s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:42:53,2023-09-26 23:42:57,3.218s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:42:57,2023-09-26 23:42:59,2.073s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:42:59,2023-09-26 23:43:00,1.691s,PASSED
"setText(findTestObject(""Login/input_loginUsername""), username)",Chrome 116.0.0.0,,,2023-09-26 23:43:00,2023-09-26 23:43:02,1.160s,PASSED
"setText(findTestObject(""Login/input_loginPassword""), password)",Chrome 116.0.0.0,,,2023-09-26 23:43:02,2023-09-26 23:43:03,0.963s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:43:03,2023-09-26 23:43:03,0.533s,PASSED
"verifyElementVisible(findTestObject(""Login/a_Name of User""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-26 23:43:03,2023-09-26 23:43:05,2.281s,PASSED
,,,,,,,
Test Cases/03 - Shopping/01 - Normal Phone Shopping,Chrome 116.0.0.0,,,2023-09-26 23:43:05,2023-09-26 23:43:52,46.511s,PASSED
"callTestCase(findTestCase(""02 - Login/01 - Normal Login""), [:], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-26 23:43:06,2023-09-26 23:43:16,9.415s,PASSED
"data = findTestData(""Data Files/Shopping/Phone Product"")",Chrome 116.0.0.0,,,2023-09-26 23:43:16,2023-09-26 23:43:16,0.739s,PASSED
"scrollToPosition(0, 300)",Chrome 116.0.0.0,,,2023-09-26 23:43:16,2023-09-26 23:43:16,0.040s,PASSED
"click(findTestObject(""Shopping/category_Phones""))",Chrome 116.0.0.0,,,2023-09-26 23:43:16,2023-09-26 23:43:17,0.481s,PASSED
"for ([i = 1, i <= data.getRowNumbers(), (i++)])",Chrome 116.0.0.0,,,2023-09-26 23:43:17,2023-09-26 23:43:52,35.057s,PASSED
,,,,,,,
Test Cases/03 - Shopping/04 - Purchase Order,Chrome 116.0.0.0,,,2023-09-26 23:43:52,2023-09-26 23:44:12,20.521s,PASSED
"click(findTestObject(""Shopping/a_Cart""))",Chrome 116.0.0.0,,,2023-09-26 23:43:53,2023-09-26 23:43:55,2.077s,PASSED
"verifyElementPresent(findTestObject(""Shopping/h3_Total Price""), 0)",Chrome 116.0.0.0,,,2023-09-26 23:43:55,2023-09-26 23:43:57,2.611s,PASSED
"click(findTestObject(""Shopping/button_Place Order""))",Chrome 116.0.0.0,,,2023-09-26 23:43:57,2023-09-26 23:43:58,0.434s,PASSED
"setText(findTestObject(""Shopping/input_Name""), ""Miyako"")",Chrome 116.0.0.0,,,2023-09-26 23:43:58,2023-09-26 23:43:59,1.090s,PASSED
"setText(findTestObject(""Shopping/input_Country""), ""Indonesia"")",Chrome 116.0.0.0,,,2023-09-26 23:43:59,2023-09-26 23:44:00,0.828s,PASSED
"setText(findTestObject(""Shopping/input_City""), ""Jakarta"")",Chrome 116.0.0.0,,,2023-09-26 23:44:00,2023-09-26 23:44:00,0.913s,PASSED
randomCreditCard = generateRandomString(15),Chrome 116.0.0.0,,,2023-09-26 23:44:00,2023-09-26 23:44:00,0.000s,PASSED
"chars = ""0123456789"".toCharArray()",Chrome 116.0.0.0,,,2023-09-26 23:44:00,2023-09-26 23:44:01,0.002s,PASSED
random = new java.util.Random(),Chrome 116.0.0.0,,,2023-09-26 23:44:01,2023-09-26 23:44:01,0.008s,PASSED
sb = new java.lang.StringBuilder(),Chrome 116.0.0.0,,,2023-09-26 23:44:01,2023-09-26 23:44:01,0.024s,PASSED
(length - 1)).each({ -> ... }),Chrome 116.0.0.0,,,2023-09-26 23:44:01,2023-09-26 23:44:01,0.015s,PASSED
return sb.toString(),Chrome 116.0.0.0,,,2023-09-26 23:44:01,2023-09-26 23:44:01,0.000s,PASSED
"setText(findTestObject(""Shopping/input_Credit Card""), randomCreditCard)",Chrome 116.0.0.0,,,2023-09-26 23:44:01,2023-09-26 23:44:01,0.898s,PASSED
"setText(findTestObject(""Shopping/input_Month""), ""September"")",Chrome 116.0.0.0,,,2023-09-26 23:44:01,2023-09-26 23:44:02,0.823s,PASSED
"setText(findTestObject(""Shopping/input_Year""), ""2023"")",Chrome 116.0.0.0,,,2023-09-26 23:44:02,2023-09-26 23:44:03,0.846s,PASSED
"click(findTestObject(""Shopping/button_Purchase""))",Chrome 116.0.0.0,,,2023-09-26 23:44:03,2023-09-26 23:44:04,0.469s,PASSED
"verifyElementVisible(findTestObject(""Shopping/h2_Thank you for your purchase""))",Chrome 116.0.0.0,,,2023-09-26 23:44:04,2023-09-26 23:44:05,1.706s,PASSED
"verifyElementPresent(findTestObject(""Shopping/h2_Thank you for your purchase""), 0)",Chrome 116.0.0.0,,,2023-09-26 23:44:05,2023-09-26 23:44:06,0.388s,PASSED
"click(findTestObject(""Shopping/button_OK""))",Chrome 116.0.0.0,,,2023-09-26 23:44:06,2023-09-26 23:44:12,6.314s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:44:12,2023-09-26 23:44:12,0.479s,PASSED
